id,project_name,address,suburb,postcode,council_short,category_label,filter_group,stage_label,status_raw,cost,cost_confidence,electrical_estimate_low,electrical_estimate_high,opportunity_score,priority_label,builder,dwellings_new,lots_proposed,gfa_proposed,storeys,distance_km,date_lodged,date_determined,contact_window,contact_target,source_ref,council_ref,lat,lon
TS-NEWC-994623,"Mixed use development (351 dwellings), Newcastle West",854 Hunter Street Newcastle West 2302,Newcastle West,2302,Newcastle,Commercial,Commercial,Construction certificate issued,Determined,233534640.0,high,21018118,35030196,100,High priority,BLOC CONSTRUCTIONS (NSW) PTY LIMITED,351,360,40398.0,30,2.2,2026-07-20,2026-07-24,Call this week,BLOC CONSTRUCTIONS (NSW) PTY LIMITED — site manager or contracts administrator,CFT-994623,,-32.924565903,151.758366239
TS-NEWC-979883,"Electricity generating facility (non-solar or wind), Mayfield West",1 Mcintosh Drive Mayfield West 2304,Mayfield West,2304,Newcastle,Energy,Infrastructure,Construction certificate issued,Determined,208000000.0,medium,72800000,124800000,100,High priority,SOUTHERN CROSS ELECTRICAL ENGINEERING LIMITED,0,,240.0,0,7.0,2026-07-01,2026-07-14,Call this week,SOUTHERN CROSS ELECTRICAL ENGINEERING LIMITED — site manager or contracts administrator,CFT-979883,,-32.882610992,151.730398534
TS-NEWC-1024947,"Mixed use development (280 dwellings), Newcastle West",309 King Street Newcastle West 2302,Newcastle West,2302,Newcastle,Commercial,Commercial,Construction certificate lodged,Under Assessment,80300000.0,high,7227000,12045000,100,High priority,GWH BUILD PTY LTD,280,,0.0,16,1.5,2026-09-09,,Call within 2 weeks,GWH BUILD PTY LTD — site manager or contracts administrator,CFT-1024947,,-32.928701832,151.765989841
TS-NEWC-1026088,"Residential flat building (20 dwellings), Newcastle",237 Wharf Road Newcastle 2300,Newcastle,2300,Newcastle,New residential,Residential,Construction certificate issued,Determined,39000000.0,high,2340000,3900000,100,High priority,MULLANE CONSTRUCTION PLUMBING PTY LIMITED,20,,8534.0,6,0.4,2026-09-08,2026-09-11,Call this week,MULLANE CONSTRUCTION PLUMBING PTY LIMITED — site manager or contracts administrator,CFT-1026088,,-32.925921189,151.777805169
TS-NEWC-925968,"Mixed use development (81 dwellings), Newcastle West",799 Hunter Street Newcastle West NSW 2302,Newcastle West,2302,Newcastle,Commercial,Commercial,Construction certificate lodged,Under Assessment,29465381.34,high,2651884,4419807,100,High priority,GWH BUILD PTY LTD,81,,17103.0,24,2.4,2026-06-02,,Call within 2 weeks,GWH BUILD PTY LTD — site manager or contracts administrator,CFT-925968,,-32.924534177,151.756416675
TS-LAKE-1007430,"Retail Premise, Belmont North",393 Pacific Highway Belmont North 2280,Belmont North,2280,Lake Macquarie,Industrial,Industrial,Construction certificate issued,Determined,29259826.0,medium,2925983,5266769,100,High priority,MAINBRACE CONSTRUCTIONS (NSW) PTY LTD,0,2,7366.0,2,15.2,2026-08-18,2026-08-20,Call this week,MAINBRACE CONSTRUCTIONS (NSW) PTY LTD — site manager or contracts administrator,CFT-1007430,,-33.0246393181,151.665460527
TS-NEWC-1006885,"Shop top housing, Newcastle West",924 Hunter Street Newcastle West 2302,Newcastle West,2302,Newcastle,Commercial,Commercial,Construction certificate lodged,Under Assessment,6565955.54,medium,590936,984893,100,High priority,DECODE CONSTRUCTION PTY LTD,0,194,0.0,0,2.4,2026-08-28,,Call within 2 weeks,DECODE CONSTRUCTION PTY LTD — site manager or contracts administrator,CFT-1006885,,-32.923680809,151.756341552
TS-LAKE-992537,"Light industry, Cardiff",48 Pendlebury Road Cardiff 2285,Cardiff,2285,Lake Macquarie,Industrial,Industrial,Construction certificate issued,Determined,5402973.8,medium,540297,972535,100,High priority,ATB MORTON (NSW) PTY LIMITED,0,,0.0,2,12.1,2026-07-16,2026-08-04,Call this week,ATB MORTON (NSW) PTY LIMITED — site manager or contracts administrator,CFT-992537,,-32.942377331,151.653500328
TS-LAKE-369761,"Electricity generating facility (non-solar or wind), Mount Hutton",46 Wilsons Road Mount Hutton 2290,Mount Hutton,2290,Lake Macquarie,Energy,Infrastructure,Complying development approved,Approved,2720000.0,medium,952000,1632000,100,High priority,,,,,1,12.0,2026-07-06,2026-07-06,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-369761,260011/01,-32.984629173,151.672560887
TS-LAKE-956600,"Shop, Boolaroo",144 Munibung Road Boolaroo 2284,Boolaroo,2284,Lake Macquarie,Retail,Commercial,Construction certificate issued,Determined,6877901.0,medium,687790,1100464,97,High priority,A & A BUILDING SERVICES PTY LTD,0,,0.0,1,14.5,2026-06-18,2026-06-22,Call this week,A & A BUILDING SERVICES PTY LTD — site manager or contracts administrator,CFT-956600,,-32.943635924,151.627174808
